player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Dameon Pierce,83659,HB,HST,5,15,6,1,54.0,54,0,100,0,2,6,101,336.7,2,2,13,0,5,78.7,73.1,75.8,,41.7,53.1,77.7,60.0,54,0,1,1,21,18,0,0,1,16,1,100,101,6.73,6.7,0.05,9
Jordan Mims,57209,HB,NO,7,14,1,0,0.0,0,0,42,0,1,1,27,21.4,0,1,20,0,6,76.9,63.5,76.9,,73.7,63.8,60.9,60.0,9,0,42,4,20,25,0,0,5,18,0,42,27,1.93,3.0,2.1,8
Aaron Rodgers,2241,QB,NYJ,11,13,1,0,0.0,0,0,5,0,0,0,0,0.0,2,3,22,4,0,74.3,75.9,39.8,74.8,,,65.7,60.2,14,5,0,0,0,227,45,9,0,4,0,50,43,3.31,3.8,,1
Matthew Stafford,4924,QB,LA,11,13,0,0,0.0,0,0,-7,0,0,0,13,0.0,1,2,26,6,0,57.3,68.7,88.4,67.8,,58.4,51.0,60.0,15,1,0,0,1,276,15,1,0,12,0,8,13,1.0,0.6,0.0,1
Derek Carr,8671,QB,NO,8,13,0,0,0.0,0,0,12,0,0,0,6,0.0,1,3,20,2,1,66.2,86.2,65.2,87.5,,56.6,46.1,61.6,13,3,0,0,3,227,35,5,0,8,1,47,6,0.46,3.6,0.0,0
Marcus Mariota,9435,QB,WAS,2,13,1,0,0.0,0,0,19,0,0,0,6,0.0,1,3,32,1,3,80.1,81.2,79.3,87.0,,,53.9,60.0,11,0,0,0,0,35,17,2,0,11,0,36,12,0.92,2.8,,4
Dak Prescott,10769,QB,DAL,8,13,0,0,0.0,0,0,9,0,0,0,8,0.0,1,5,9,4,0,56.0,67.9,66.6,67.2,,,59.6,60.0,22,3,0,0,0,156,45,6,0,7,1,54,28,2.15,4.2,,1
Mason Rudolph,46569,QB,TEN,4,13,0,0,0.0,0,0,10,0,0,0,6,0.0,3,6,31,4,1,45.4,59.8,51.2,60.3,,,52.4,60.5,14,2,0,0,0,128,51,6,0,7,1,61,16,1.23,4.7,,1
CeeDee Lamb,61570,WR,DAL,11,13,4,1,26.1,18,0,69,6,12,4,37,50.6,5,4,9,1,2,56.5,75.7,9.9,,67.1,77.6,58.9,63.2,18,6,841,77,410,183,0,0,112,90,0,69,37,2.85,5.3,2.05,2
Chris Rodriguez Jr.,83689,HB,WAS,2,13,5,1,30.4,17,0,56,0,0,5,49,145.0,1,3,32,0,10,75.1,71.3,76.5,,22.4,56.9,73.0,60.0,17,0,0,0,3,18,0,0,0,13,0,56,49,3.77,4.3,0.0,3
Hassan Haskins,83701,HB,LAC,8,13,1,0,0.0,0,0,26,0,0,1,23,13.6,0,6,27,0,2,75.3,62.2,78.2,,38.6,49.9,66.6,69.5,5,0,0,0,22,17,0,0,0,13,1,26,23,1.77,2.0,0.0,6
Eric Gray,99143,HB,NYG,9,13,0,0,0.0,0,0,25,1,3,0,21,23.1,0,1,21,1,7,24.4,47.5,80.9,,63.4,62.1,38.8,37.3,6,0,76,8,47,22,0,0,9,21,0,25,21,1.62,1.9,1.62,5
Jase McClellan,123926,HB,ATL,2,13,3,0,0.0,0,0,32,0,0,3,32,56.8,0,2,2,0,5,74.7,70.6,72.8,,74.5,55.9,69.1,,8,0,0,0,4,13,0,0,0,13,0,32,32,2.46,2.5,0.0,8
Craig Reynolds,94383,HB,DET,9,12,1,1,37.3,19,0,51,0,0,1,30,20.8,1,3,11,1,2,22.2,54.3,75.7,,,53.7,56.3,61.0,19,0,0,0,11,28,0,0,0,12,0,51,30,2.5,4.3,0.0,10
Tua Tagovailoa,60326,QB,MIA,7,12,0,0,0.0,0,1,-4,0,0,0,0,0.0,3,5,17,5,0,34.1,71.2,86.4,68.8,,,68.9,60.0,13,1,0,0,0,175,45,5,0,7,0,41,5,0.42,3.4,,1
Jayden Reed,78171,WR,GB,11,12,1,4,81.0,85,0,105,7,6,1,41,45.1,5,5,12,0,2,59.1,72.6,88.8,,66.2,71.2,70.2,65.3,33,0,669,41,265,171,0,0,52,53,1,105,41,3.42,8.8,2.52,6
Tyler Badie,83714,HB,DEN,3,11,1,2,68.6,59,0,86,0,0,1,67,43.5,2,4,10,1,4,23.2,62.0,74.0,,,26.5,72.8,60.0,43,0,-2,3,6,14,0,0,3,14,0,86,67,6.09,7.8,-0.33,7
Cooper Rush,12324,QB,DAL,7,11,0,0,0.0,0,0,5,0,0,0,2,0.0,0,2,9,6,1,24.9,46.4,84.0,53.7,,,25.0,60.0,4,0,0,0,0,72,5,2,0,9,0,10,6,0.55,0.9,,3
Xavier Worthy,144718,WR,KC,11,11,3,1,42.9,21,0,49,3,2,3,26,30.3,1,2,16,0,1,78.3,60.2,67.3,,,58.2,74.6,63.9,21,1,353,28,335,128,0,0,51,39,2,49,26,2.36,4.5,1.05,0
Deuce Vaughn,122624,HB,DAL,5,11,5,0,0.0,0,0,33,0,2,5,24,109.1,0,0,9,0,4,74.9,55.7,76.1,,16.0,65.5,55.0,60.0,7,0,18,3,18,14,0,0,4,14,0,33,24,2.18,3.0,1.0,6
Andy Dalton,6187,QB,CAR,6,11,1,0,0.0,0,0,-2,0,0,0,0,0.0,1,2,5,2,1,58.2,68.1,85.0,67.4,,,58.0,60.0,18,0,0,0,0,120,36,6,0,5,0,34,34,3.09,3.1,,0
J.J. Taylor,25512,HB,HST,4,10,0,0,0.0,0,0,44,1,0,0,19,0.0,0,1,13,0,7,73.9,59.5,75.9,,30.5,36.8,70.7,,9,0,0,2,17,10,0,0,3,12,0,44,19,1.9,4.4,0.0,3
Ronnie Rivers,57208,HB,LA,4,10,1,0,0.0,0,0,51,0,0,1,29,26.4,2,5,26,0,4,73.6,74.6,74.0,,53.1,58.2,76.8,60.0,12,0,0,1,10,12,0,0,1,11,0,51,29,2.9,5.1,0.0,5
Kendre Miller,123091,HB,NO,2,9,5,1,30.8,16,0,52,1,0,5,36,181.8,2,2,20,0,1,75.0,71.9,76.6,,35.5,32.5,81.7,60.0,16,0,1,2,12,12,0,0,3,11,0,52,36,4.0,5.8,0.08,8
Spencer Rattler,97408,QB,NO,3,9,2,0,0.0,0,0,0,0,0,0,0,0.0,2,3,20,3,0,24.6,55.9,82.8,55.4,,,58.4,60.6,28,0,0,0,0,53,61,6,0,3,0,61,77,8.56,6.8,,0
Jake Haener,60596,QB,NO,6,9,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,20,0,0,79.8,61.0,78.5,60.0,60.9,,61.5,60.0,9,0,0,0,0,17,21,4,0,5,0,16,0,0.0,1.8,,0
Marvin Mims Jr.,122937,WR,DEN,12,9,1,1,47.2,17,0,36,2,5,1,26,69.3,2,3,10,0,4,88.0,58.4,83.9,,,58.5,57.7,55.5,17,0,162,16,115,55,0,0,25,25,0,36,26,2.89,4.0,1.41,1
Alec Ingold,34934,FB,MIA,9,9,0,0,0.0,0,0,13,0,0,0,15,0.0,0,5,17,2,0,16.4,48.2,40.7,,64.3,55.4,32.3,59.9,6,1,60,7,59,145,0,0,7,16,1,13,15,1.67,1.4,1.02,0
Khalil Herbert,41668,HB,CIN,7,8,1,0,0.0,0,0,16,0,0,1,14,17.5,0,3,7,0,4,75.0,56.4,76.8,,42.7,57.1,57.4,60.0,6,0,4,2,12,17,0,0,2,10,1,16,14,1.75,2.0,0.33,3
Jeff Wilson Jr.,29413,HB,MIA,4,8,2,0,0.0,0,0,40,0,0,2,26,65.0,2,1,17,0,6,73.4,60.0,76.6,,79.9,54.7,62.2,60.1,14,0,12,2,21,14,0,0,2,10,0,40,26,3.25,5.0,0.57,1
Dalvin Cook,11796,HB,DAL,2,8,0,0,0.0,0,0,20,0,0,0,18,0.0,0,0,9,0,1,72.5,53.3,76.8,,78.8,64.4,49.5,,4,0,10,1,10,8,0,0,1,9,0,20,18,2.25,2.5,1.0,6
Tank Dell,78874,WR,HST,11,8,1,2,125.0,35,0,28,5,4,1,12,15.0,2,2,13,0,0,80.7,69.0,69.7,,,70.4,56.5,45.1,18,1,520,42,365,145,0,0,68,50,0,28,12,1.5,3.5,1.42,2
Joe Flacco,4332,QB,IND,6,8,0,0,0.0,0,1,-1,0,0,0,1,0.0,1,2,14,3,1,90.0,65.5,85.0,64.7,,60.0,58.6,60.0,21,2,0,0,1,109,26,3,0,5,0,25,4,0.5,3.1,0.0,0
Tyreek Hill,10799,WR,MIA,11,7,2,1,34.0,16,1,47,1,8,2,11,28.1,2,2,17,0,0,80.6,70.9,55.5,,,72.9,60.5,48.3,16,4,571,49,334,228,0,0,73,56,0,47,11,1.57,6.7,1.71,0
DJ Moore,48267,WR,CHI,11,7,1,0,0.0,0,0,36,1,8,1,14,29.5,2,2,6,0,2,81.5,68.8,76.2,59.7,,68.1,70.5,58.1,14,2,566,54,440,234,0,0,77,61,0,36,14,2.0,5.1,1.29,0
Sterling Shepard,10674,WR,TB,9,7,1,2,78.2,43,0,55,1,2,1,20,30.6,2,3,30,0,0,76.8,55.9,6.6,,62.3,57.0,57.2,63.7,24,4,182,21,227,98,0,0,30,28,0,55,20,2.86,7.9,0.8,0
Mac Jones,60323,QB,JAX,4,7,1,0,0.0,0,0,3,0,0,0,1,0.0,0,3,15,2,0,46.0,44.0,81.0,43.0,,,61.0,60.3,5,0,0,0,0,37,12,3,0,4,1,15,5,0.71,2.1,,0
Mitch Trubisky,11757,QB,BUF,6,7,0,0,0.0,0,0,-7,0,0,0,0,0.0,0,0,4,0,0,72.8,29.6,76.1,24.6,,,61.9,60.0,-1,0,0,0,0,26,0,0,0,7,0,-7,0,0.0,-1.0,,0
Derius Davis,78196,WR,LAC,8,7,2,0,0.0,0,0,43,0,2,2,22,104.8,1,2,27,0,1,85.9,74.7,78.7,,,72.7,67.3,61.1,10,0,43,5,31,34,0,0,6,12,0,43,22,3.14,6.1,1.39,0
Tommy DeVito,60545,QB,NYG,1,7,0,0,0.0,0,0,1,0,0,0,3,0.0,1,1,21,0,1,79.9,51.1,78.6,51.8,,,55.4,60.0,17,0,0,0,0,16,31,4,0,3,0,32,16,2.29,4.6,,1
Patrick Taylor,40448,HB,SF,2,7,3,0,0.0,0,0,25,0,0,3,11,58.9,0,1,28,0,0,75.7,59.5,74.3,,,68.3,57.6,60.0,6,0,12,1,9,11,0,0,1,8,0,25,11,1.57,3.6,1.33,7
Jameson Williams,101701,WR,DET,9,6,1,1,39.5,15,0,38,2,2,1,18,25.7,3,3,11,0,0,78.1,74.4,67.2,,,75.0,64.8,57.0,15,1,602,29,264,208,0,0,47,35,0,38,18,3.0,6.3,2.28,0
Zay Flowers,97268,WR,BLT,12,6,3,1,40.4,19,0,47,3,14,3,31,139.4,1,1,3,0,1,81.9,80.1,71.3,,,81.7,70.4,43.5,19,2,789,57,355,224,0,0,83,63,0,47,31,5.17,7.8,2.22,0
Rashid Shaheed,63707,WR,NO,6,6,0,0,0.0,0,0,29,0,0,0,10,0.0,1,2,20,0,2,82.6,69.7,85.2,,,69.2,66.1,54.8,13,2,349,20,171,104,0,0,40,26,0,29,10,1.67,4.8,2.04,0
Hunter Luepke,91319,FB,DAL,10,6,1,0,0.0,0,0,19,0,3,1,16,66.7,0,4,9,0,1,74.3,58.6,30.3,,68.3,59.2,65.1,50.6,6,1,105,10,115,48,0,0,12,16,0,19,16,2.67,3.2,0.91,4
Ray-Ray McCloud III,47895,WR,ATL,11,6,2,2,66.1,37,0,56,0,7,2,28,89.4,2,2,2,3,2,22.5,59.4,57.2,,80.9,59.3,73.5,48.4,20,3,381,41,368,247,0,0,52,47,0,56,28,4.67,9.3,1.04,1
Sione Vaki,158505,HB,DET,8,6,1,0,0.0,0,0,14,0,0,1,12,28.6,0,0,11,0,1,71.9,65.6,77.0,,,80.7,60.1,53.7,7,0,17,1,9,13,0,0,1,7,0,14,12,2.0,2.3,1.89,5
Tyson Bagent,169628,QB,CHI,2,6,0,0,0.0,0,0,-7,0,0,0,0,0.0,0,0,6,0,0,70.6,62.4,70.6,,,,61.6,,-1,0,0,0,0,6,0,0,0,6,0,-7,0,0.0,-1.2,,0
Tre Tucker,101106,WR,LV,11,6,0,0,0.0,0,0,36,1,4,0,12,19.5,1,2,23,0,0,81.7,58.2,88.3,,66.2,59.0,53.1,47.3,11,1,367,35,416,173,0,0,53,41,1,36,12,2.0,6.0,0.88,0
Aaron Shampklin,148900,HB,PIT,3,6,1,0,0.0,0,0,17,0,0,1,14,38.9,0,1,25,0,3,74.2,52.5,77.7,,43.8,51.8,52.1,67.5,5,0,0,0,12,8,0,0,0,6,0,17,14,2.33,2.8,0.0,3
MarShawn Lloyd,124247,HB,GB,1,6,0,0,0.0,0,0,15,0,0,0,7,0.0,0,0,12,0,3,71.1,53.3,79.0,,,59.7,53.8,60.0,5,0,3,1,3,7,0,0,1,7,0,15,7,1.17,2.5,1.0,3
Bo Melton,61610,WR,GB,11,6,4,2,82.1,32,0,39,0,1,4,16,121.2,3,3,12,0,3,72.8,63.3,34.4,,,59.3,79.3,57.0,16,2,73,5,52,111,0,0,11,11,0,39,16,2.67,6.5,1.4,1
DJ Turner,47663,WR,LV,11,5,3,1,54.5,18,0,33,0,0,3,39,117.0,1,1,23,0,2,80.5,53.2,58.0,,69.0,53.6,58.1,53.3,18,1,133,15,231,99,0,0,27,20,1,33,39,7.8,6.6,0.58,0
KaVontae Turpin,47658,WR,DAL,11,5,1,0,0.0,0,0,14,3,3,1,11,33.8,1,0,9,2,2,29.8,66.7,83.3,,,69.3,41.5,58.7,11,0,275,21,123,49,0,0,31,26,0,14,11,2.2,2.8,2.24,0
Michael Burton,9601,FB,DEN,12,5,0,0,0.0,0,0,4,0,0,0,3,0.0,0,2,10,0,0,72.9,64.5,83.3,,83.5,56.4,52.9,71.5,3,0,46,7,45,58,0,0,7,12,0,4,3,0.6,0.8,1.02,0
Terrell Jennings,102408,HB,NE,1,5,0,0,0.0,0,0,13,0,0,0,12,0.0,0,0,19,0,3,69.7,55.8,73.8,,75.0,54.6,56.4,,5,0,0,0,8,5,0,0,1,5,0,13,12,2.4,2.6,0.0,2
Sincere McCormick,97119,HB,LV,1,5,1,1,57.6,19,0,33,0,0,1,14,56.0,2,2,23,0,5,69.7,69.1,68.1,,73.4,58.5,67.5,,19,0,0,0,2,5,0,0,0,5,0,33,14,2.8,6.6,0.0,0
Hendon Hooker,60593,QB,DET,3,5,0,0,0.0,0,0,0,0,0,0,2,0.0,0,1,11,0,0,74.1,74.1,76.5,72.8,,,63.8,60.0,3,0,0,0,0,22,2,1,0,4,0,2,4,0.8,0.4,,0
Mecole Hardman Jr.,42683,WR,KC,10,5,3,2,61.3,38,0,62,0,2,3,20,117.6,2,2,16,0,1,85.5,75.5,82.6,,69.4,68.9,85.8,59.2,20,0,90,12,67,38,0,0,13,17,1,62,20,4.0,12.4,1.34,0
Ashton Dulin,91479,WR,IND,12,5,2,0,0.0,0,0,45,0,1,2,23,197.1,2,2,14,0,0,73.9,54.9,33.4,,70.4,55.9,69.1,42.0,12,2,67,2,58,92,0,0,8,7,0,45,23,4.6,9.0,1.16,0
Xavier Legette,99197,WR,CAR,11,5,3,0,0.0,0,0,22,5,4,3,20,73.7,0,2,5,0,0,79.4,61.8,87.4,,46.2,61.8,60.8,54.4,8,0,340,33,277,172,0,0,48,38,0,22,20,4.0,4.4,1.23,0
Jonathan Ward,25859,HB,PIT,3,5,1,0,0.0,0,0,22,0,0,1,17,68.0,0,1,25,0,0,69.7,72.9,0.0,,75.7,59.7,75.4,60.0,7,1,0,0,1,8,0,0,0,5,0,22,17,3.4,4.4,0.0,5
Clayton Tune,77652,QB,ARZ,4,5,0,0,0.0,0,0,-5,0,0,0,1,0.0,0,1,1,1,1,17.0,32.4,74.5,,,,35.8,60.0,2,0,0,0,0,19,0,0,0,5,0,-5,1,0.2,-1.0,,0
Trey Lance,91399,QB,DAL,2,4,1,0,0.0,0,0,14,0,0,1,9,56.3,1,2,9,0,2,73.1,55.1,74.1,49.2,,,65.0,60.0,11,0,0,0,0,9,0,0,0,4,0,14,9,2.25,3.5,,0
Malik Nabers,146759,WR,NYG,9,4,0,0,0.0,0,0,-2,5,6,0,6,12.7,0,1,21,1,0,48.8,79.3,87.2,60.0,,80.2,50.7,54.9,2,2,671,67,337,185,0,0,100,71,0,-2,6,1.5,-0.5,1.99,0
Kenny McIntosh,99158,HB,SEA,3,4,1,0,0.0,0,0,16,0,0,1,11,68.8,0,1,29,0,3,72.0,73.5,75.7,,74.5,56.5,72.9,60.0,6,0,0,0,4,7,0,0,0,4,0,16,11,2.75,4.0,0.0,1
DeeJay Dallas,55632,HB,ARZ,2,4,0,0,0.0,0,0,12,0,0,0,13,0.0,0,1,1,0,2,26.4,68.1,68.5,,,,65.8,60.0,6,0,0,0,0,5,0,0,0,4,0,12,13,3.25,3.0,,2
Malik Washington,97108,WR,MIA,8,4,2,1,50.0,18,1,36,0,0,2,18,75.0,1,1,17,0,0,79.0,52.7,0.0,,64.9,55.9,69.7,36.2,18,2,46,8,89,73,0,0,11,12,1,36,18,4.5,9.0,0.52,2
Isaiah Davis,138299,HB,NYJ,3,4,0,0,0.0,0,0,18,0,0,0,8,0.0,1,2,22,0,1,76.1,62.1,68.3,,,79.7,57.8,,12,0,10,1,1,4,0,0,1,5,0,18,8,2.0,4.5,10.0,3
Mike Boone,31615,HB,CAR,1,4,1,0,0.0,0,0,7,0,0,1,9,56.3,0,0,5,0,1,68.6,69.0,68.0,,,59.5,67.5,,5,0,0,0,1,4,0,0,0,4,0,7,9,2.25,1.8,0.0,3
Calvin Ridley,48262,WR,TEN,11,4,0,0,0.0,0,1,32,6,2,0,10,11.1,2,2,31,1,0,33.6,69.2,87.9,,,70.4,47.3,52.4,10,2,634,41,353,205,0,0,76,45,1,32,10,2.5,8.0,1.8,0
Brian Thomas Jr.,146760,WR,JAX,11,4,2,0,0.0,0,0,19,4,5,2,7,26.6,1,1,15,0,1,79.4,79.6,47.3,,,81.1,56.5,52.8,13,2,689,42,303,151,0,0,62,46,0,19,7,1.75,4.8,2.27,0
Jalen Nailor,84292,WR,MIN,11,3,1,0,0.0,0,1,-4,4,0,1,8,13.3,0,1,18,0,0,75.7,59.5,12.3,,,60.3,67.4,57.5,3,3,252,17,234,115,0,0,28,20,0,-4,8,2.67,-1.3,1.08,1
Kenny Pickett,60515,QB,PHI,3,3,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,24,0,0,71.3,54.0,75.9,44.6,,,65.0,60.0,1,0,0,0,0,24,0,0,0,3,0,-1,0,0.0,-0.3,,0
Jalen Reagor,61697,WR,LAC,6,3,0,0,0.0,0,0,-3,0,0,0,5,0.0,0,0,27,1,0,21.0,58.2,81.2,,,59.2,54.0,57.6,1,0,96,6,67,34,0,0,10,9,0,-3,5,1.67,-1.0,1.43,1
Rome Odunze,73774,WR,CHI,11,3,2,0,0.0,0,0,15,3,4,2,18,85.7,0,1,6,1,0,30.1,63.8,88.2,,62.3,64.2,59.5,48.4,8,1,518,39,411,189,0,0,66,42,0,15,18,6.0,5.0,1.26,0
Myles Gaskin,45914,HB,MIN,2,3,0,0,0.0,0,0,-1,0,0,0,4,0.0,0,0,18,0,1,73.0,63.1,68.7,,,84.2,50.6,,2,0,11,1,2,3,0,0,1,4,0,-1,4,1.33,-0.3,5.5,2
Dorian Thompson-Robinson,83574,QB,CLV,3,3,0,1,77.3,34,0,44,0,0,0,19,0.0,2,2,8,1,2,27.0,32.2,77.4,26.7,,,88.5,60.0,34,1,0,0,0,13,0,0,0,3,0,44,19,6.33,14.7,,0
Travis Homer,45859,HB,CHI,3,3,0,0,0.0,0,0,16,0,0,0,7,0.0,0,1,6,0,0,67.2,60.5,77.6,,86.8,50.4,61.4,,6,0,0,0,19,3,0,0,0,3,0,16,7,2.33,5.3,0.0,1
Devin Duvernay,40006,WR,JAX,6,3,2,0,0.0,0,0,10,0,0,2,17,283.3,0,1,15,0,0,82.4,56.4,79.0,,,51.3,70.6,53.7,4,0,-1,1,29,15,0,0,3,4,0,10,17,5.67,3.3,-0.03,0
