player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kalif Raymond,11028,WR,DET,11,2,0,0,,0,0,0,0,3,0,3,25.0,1,1,11,0,0,86.4,69.4,83.6,,,69.1,59.5,59.7,12,0,204,16,126,77,0,0,20,18,0,0,3,1.5,0.0,1.62,0
Tyreik McAllister,156153,WR,LV,1,2,0,0,0.0,0,0,11,0,0,0,8,0.0,1,1,23,0,2,72.3,62.0,68.9,,,59.1,62.4,60.0,10,0,0,0,1,3,0,0,0,2,0,11,8,4.0,5.5,0.0,0
Jarrett Stidham,13725,QB,DEN,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,10,0,0,65.2,61.0,69.9,,,,60.0,60.0,-1,0,0,0,0,5,0,0,0,2,0,-2,0,0.0,-1.0,,0
Josh Downs,122832,WR,IND,10,1,0,0,0.0,0,0,-1,2,5,0,0,0.0,1,1,14,0,0,85.3,87.8,62.4,,,88.1,,63.8,13,2,594,53,252,137,0,0,74,54,0,12,0,0.0,12.0,2.36,0
Diontae Johnson,33441,WR,BLT,11,2,0,0,0.0,0,0,6,2,6,0,1,9.1,0,1,3,0,0,77.2,66.1,61.8,,,66.4,59.2,58.7,4,1,363,31,231,131,0,0,62,33,0,6,1,0.5,3.0,1.57,0
Jaxon Smith-Njigba,129758,WR,SEA,11,1,0,0,0.0,0,0,8,2,10,0,4,59.7,0,1,29,1,0,48.9,78.2,73.5,59.7,,80.3,62.8,31.2,8,1,755,66,427,158,0,0,90,67,0,8,4,4.0,8.0,1.77,0
Charlie Kolar,60917,TE,BLT,12,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,3,0,0,71.3,70.1,42.9,,53.8,79.9,62.6,61.5,2,2,131,9,42,168,0,0,11,10,0,2,1,1.0,2.0,3.12,0
Tavierre Thomas,66931,CB,TB,1,1,0,0,0.0,0,0,-2,0,0,0,1,0.0,0,0,30,0,0,61.9,53.8,65.0,,,,56.0,,-2,0,0,0,0,1,0,0,0,1,0,-2,1,1.0,-2.0,,0
Tyler Boyd,10689,WR,TEN,11,1,0,0,0.0,0,0,3,1,3,0,3,30.0,0,1,31,1,0,76.9,59.5,85.3,51.2,39.1,60.9,,46.0,3,0,273,29,283,120,0,0,40,30,0,3,3,3.0,3.0,0.96,0
Tanner Hudson,66924,TE,CIN,7,1,0,0,0.0,0,0,1,2,1,0,0,0.0,0,1,7,1,0,21.5,59.3,82.3,,60.7,57.9,62.6,54.8,1,1,87,12,55,21,0,0,16,13,0,1,0,0.0,1.0,1.58,0
Jermaine Jackson,141559,WR,NO,2,1,1,0,0.0,0,0,-1,0,0,1,5,500.0,0,0,20,0,0,82.3,56.1,68.4,,,,59.2,59.1,-1,0,0,0,0,4,0,0,0,1,0,-1,5,5.0,-1.0,,0
Marcus Jones,55717,CB,NE,1,1,0,0,0.0,0,2,5,0,0,0,1,0.0,0,0,19,0,1,39.4,50.2,67.4,,,59.8,56.3,,5,5,0,0,1,1,0,0,0,1,0,5,1,1.0,5.0,0.0,0
Malachi Corley,66272,WR,NYJ,6,1,0,1,100.0,18,0,18,0,0,0,0,0.0,1,0,22,1,0,13.1,54.4,76.6,,66.1,64.7,36.1,83.9,18,0,16,3,22,19,0,0,4,4,0,18,0,0.0,18.0,0.73,0
Skylar Thompson,60417,QB,MIA,3,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,17,2,0,20.3,39.7,78.7,41.8,,,55.3,60.0,4,0,0,0,0,17,4,1,0,0,0,4,3,3.0,4.0,,0
Travis Kelce,7844,TE,KC,11,1,0,0,0.0,0,0,1,2,2,0,2,5.8,0,0,16,2,0,46.8,70.3,90.9,,83.8,69.0,,63.7,1,1,569,68,382,208,0,0,87,69,0,1,2,2.0,1.0,1.49,0
Tyrod Taylor,6332,QB,NYJ,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,22,0,0,71.4,66.1,73.2,59.8,,,65.6,60.0,7,0,0,0,0,3,7,1,0,0,0,7,3,3.0,7.0,,0
Jaden Hicks,146512,S,KC,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,16,0,0,61.9,60.0,60.4,,,,60.0,,1,0,0,0,0,1,0,0,0,1,0,1,0,0.0,1.0,,0
Chris Olave,84355,WR,NO,8,1,0,0,0.0,0,0,7,1,0,0,0,0.0,0,1,20,1,0,28.6,82.4,85.4,,39.9,83.0,,55.1,7,0,400,32,188,113,0,0,43,33,0,7,0,0.0,7.0,2.13,0
JK Scott,38809,P,LAC,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,27,1,0,,60.0,65.7,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,,0
Deven Thompkins,84480,WR,CAR,3,1,0,0,0.0,0,0,-2,0,1,0,5,125.0,0,0,5,0,0,67.4,62.3,73.6,,,65.7,56.6,57.9,-2,0,13,3,11,11,0,0,3,4,0,-2,5,5.0,-2.0,1.18,0
Amon-Ra St. Brown,84470,WR,DET,11,1,0,0,0.0,0,1,-4,1,8,0,0,0.0,0,0,11,0,0,82.3,87.9,72.0,60.5,62.3,89.5,56.6,56.4,-4,2,747,71,325,299,0,0,84,72,0,-4,0,0.0,-4.0,2.3,0
Jake Bailey,33963,P,MIA,1,1,0,0,,0,0,0,0,0,0,8,0.0,0,0,17,0,0,61.9,60.0,60.5,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,8,8.0,0.0,,0
Cedric Tillman,84434,WR,CLV,11,1,0,0,0.0,0,2,-5,2,9,0,0,0.0,0,0,8,1,0,27.8,63.6,65.6,,70.7,65.8,56.2,39.5,-5,2,339,29,278,130,0,0,45,30,0,-5,0,0.0,-5.0,1.22,0
Garrett Wilson,97405,WR,NYJ,11,1,1,0,0.0,0,0,5,3,15,1,14,320.0,0,1,22,1,0,47.7,79.8,44.0,,,80.3,62.1,60.9,5,4,722,69,418,211,0,0,106,70,0,5,14,14.0,5.0,1.73,0
Jahan Dotson,84375,WR,PHI,11,1,0,0,0.0,0,1,13,0,2,0,0,0.0,1,1,24,0,0,71.5,54.5,66.1,,,54.8,,53.1,13,1,110,10,257,165,0,0,17,11,0,13,0,0.0,13.0,0.43,0
Rashee Rice,97605,WR,KC,4,1,0,0,0.0,0,1,1,1,8,0,1,32.0,0,1,16,0,1,75.8,85.1,83.1,,,85.5,64.6,43.7,1,1,288,24,91,56,0,0,29,25,0,1,1,1.0,1.0,3.16,0
Dylan Laube,88664,HB,LV,1,1,0,0,,0,0,0,0,0,0,4,0.0,0,0,23,1,1,13.5,29.0,62.8,,,,39.9,,0,0,0,0,0,1,0,0,0,1,0,0,4,4.0,0.0,,0
Ja'Marr Chase,84270,WR,CIN,11,1,0,0,0.0,0,0,11,5,13,0,1,17.6,1,1,7,0,0,81.7,81.6,74.1,,,81.0,63.4,63.5,11,1,1056,73,441,181,0,0,97,74,0,11,1,1.0,11.0,2.39,0
Drew Lock,39517,QB,NYG,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,21,2,0,18.7,27.5,73.2,25.4,,,65.9,60.0,13,0,0,0,0,2,13,1,0,0,0,13,0,0.0,13.0,,0
Darius Slayton,25578,WR,NYG,10,1,0,0,0.0,0,0,11,6,3,0,2,18.2,1,1,21,0,1,78.2,65.2,53.9,,70.3,65.6,63.0,54.9,11,4,469,32,345,199,0,0,52,33,0,11,2,2.0,11.0,1.36,0
Kameron Johnson,165866,WR,TB,3,1,0,0,,0,0,0,1,0,0,1,0.0,0,0,30,0,1,68.8,47.4,78.0,,,44.5,59.6,75.3,0,0,0,0,17,22,0,0,1,1,0,0,1,1.0,0.0,0.0,0
Ainias Smith,99207,WR,PHI,5,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,24,0,0,68.3,56.4,76.3,,,58.7,57.2,57.7,2,0,6,3,11,32,0,0,3,4,0,2,1,1.0,2.0,0.55,0
Justin Jefferson,61398,WR,MIN,11,1,0,0,0.0,0,1,0,3,6,0,,9.8,0,0,18,1,0,45.5,84.6,74.0,60.3,,85.2,58.3,60.8,3,2,939,61,370,265,3,1,91,61,0,3,2,2.0,3.0,2.54,0
Ricky Pearsall,100660,WR,SF,5,1,0,1,100.0,39,0,39,0,0,0,31,0.0,1,1,28,0,0,75.6,61.3,82.8,,66.2,59.2,62.8,71.9,39,0,132,11,130,58,0,0,16,12,0,39,31,31.0,39.0,1.02,0
Matthew Hayball,100813,P,NO,1,1,0,0,0.0,0,0,11,0,0,0,4,0.0,1,1,20,0,0,61.9,65.0,65.7,,,,63.1,,11,0,0,0,0,1,0,0,0,1,0,11,4,4.0,11.0,,0
Jha'Quan Jackson,101135,WR,TEN,8,1,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,31,0,0,23.3,70.3,79.1,,,68.9,,69.3,-5,0,8,1,15,27,0,0,3,2,0,-5,0,0.0,-5.0,0.53,0
Greg Dortch,42237,WR,ARZ,11,1,0,0,0.0,0,0,4,2,6,0,0,0.0,0,0,1,1,1,36.4,59.2,83.8,,,58.5,59.7,62.1,4,0,192,23,197,86,0,0,32,24,0,4,0,0.0,4.0,0.97,0
Jake Browning,46401,QB,CIN,2,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,7,0,0,61.9,60.0,69.2,,,,60.0,60.0,-1,0,0,0,0,4,0,0,0,1,0,-1,0,0.0,-1.0,,0
