player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jonathan Greenard,48407,ED,MIN,11,6,2,66.7,0,2,18,0,0,78.5,87.2,68.1,77.6,81.2,36.3,6,40,0,0,15,25.0,10,0,2,70.1,4,9,0,2,0,43,586,584,0,2,564,18,0,2,367,176,0,29,24,5,6,55,0,17,7,4.3
Mike Danna,48415,ED,KC,7,7,1,50.0,0,1,16,0,0,69.7,69.9,88.0,58.7,69.3,80.8,2,10,0,0,7,0.0,0,0,0,58.3,1,2,0,0,0,14,296,296,2,16,240,38,0,0,179,103,0,10,17,1,2,14,0,7,11,7.0
Demone Harris,48452,ED,ATL,3,1,0,100.0,0,0,2,0,0,77.7,55.2,29.4,47.2,70.4,72.4,0,1,0,0,6,0.0,0,0,1,91.7,1,0,0,1,0,6,97,96,0,9,65,22,0,1,68,23,0,1,1,1,1,1,0,6,13,6.0
James Smith-Williams,48455,ED,ATL,10,7,0,66.7,0,0,2,0,0,79.8,60.9,86.6,52.0,57.0,71.2,1,2,0,0,11,5.0,1,0,0,78.5,2,1,0,0,0,28,306,302,0,5,286,11,0,4,129,149,4,11,12,6,3,4,0,15,16,7.5
Sam Hubbard,48457,ED,CIN,11,10,1,66.7,0,1,7,0,0,62.2,61.0,88.9,47.5,69.8,59.3,5,8,0,1,16,9.3,4,0,0,44.4,2,2,1,5,0,24,457,449,5,19,398,27,0,8,224,209,3,21,29,1,3,15,0,19,24,9.5
Tyquan Lewis,48475,ED,IND,5,1,0,,0,0,14,0,0,63.4,53.2,59.1,52.3,57.0,29.0,3,8,0,0,,23.5,4,0,1,0.0,0,2,0,1,0,3,222,221,8,20,154,39,0,1,115,104,0,12,12,2,0,13,0,0,0,
Carl Granderson,48500,ED,NO,11,4,2,100.0,0,1,20,0,0,81.3,76.6,77.6,70.5,67.1,54.8,1,32,0,0,36,13.5,5,0,1,158.3,1,7,0,0,0,26,558,557,0,1,519,37,0,1,352,180,1,27,28,3,1,40,1,36,33,36.0
Oshane Ximines,48538,ED,NE,2,0,0,,0,0,19,0,0,61.0,66.4,73.4,58.8,64.5,69.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,14,14,0,0,14,0,0,0,10,2,0,0,1,0,0,0,0,0,0,
Dorance Armstrong,48557,ED,WAS,11,4,0,100.0,0,1,32,0,0,73.2,71.2,57.9,77.8,53.2,36.1,7,19,0,0,11,24.1,7,0,2,89.6,2,4,0,10,0,10,419,409,0,21,372,16,0,10,241,168,0,18,18,2,2,30,0,11,3,5.5
Harold Landry III,48600,ED,TEN,11,12,1,100.0,0,0,31,0,0,68.2,66.6,77.8,49.6,80.4,72.3,5,11,0,0,22,7.0,3,1,1,111.1,6,6,1,17,0,66,551,515,0,1,514,0,0,36,276,209,19,25,28,3,6,22,0,64,37,10.7
Roy Lopez,48676,DI,ARZ,10,6,2,,0,1,1,0,0,60.0,52.7,83.3,68.8,44.1,27.6,2,10,0,0,,25.9,7,0,0,0.0,0,1,0,0,0,0,305,305,179,110,0,16,0,0,150,155,0,11,14,2,0,13,0,0,0,
Harrison Phillips,48690,DI,MIN,11,18,2,,0,1,18,1,0,80.2,65.0,86.1,56.4,63.9,56.2,2,7,0,0,,8.6,3,0,0,0.0,0,2,0,1,0,0,437,436,127,295,1,13,0,1,252,185,0,13,14,0,0,11,0,0,0,
Daron Payne,48698,DI,WAS,12,4,0,,1,0,32,0,0,60.0,57.5,73.1,63.7,50.9,26.5,1,23,0,0,,25.0,8,0,1,0.0,0,3,0,0,0,0,498,498,23,300,22,153,0,0,287,211,0,19,20,0,0,27,0,0,0,
Greg Gaines,48706,DI,TB,9,2,0,,0,0,30,0,0,59.2,49.2,39.6,49.9,57.4,25.6,2,2,0,0,,36.4,4,0,2,0.0,0,1,0,0,0,6,293,293,51,208,8,26,0,0,190,97,0,5,5,1,0,5,0,0,0,
Taven Bryan,48753,DI,IND,12,5,1,,0,0,14,1,0,60.4,57.7,37.7,66.7,54.6,75.0,0,6,0,0,,0.0,0,0,2,0.0,0,1,0,0,0,2,281,281,2,203,0,76,0,0,130,149,0,7,11,1,0,7,0,0,0,
Bruce Hector,48759,DI,NYJ,3,1,0,,0,0,22,0,0,,43.1,77.2,52.8,44.9,69.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,47,47,3,39,0,5,0,0,18,29,0,1,1,0,0,0,0,0,0,
L.J. Collier,48822,DI,ARZ,11,4,0,,0,0,1,1,0,60.0,48.5,67.4,57.7,44.5,30.0,4,17,0,0,,21.7,5,0,1,0.0,0,2,0,0,0,0,379,379,4,120,46,209,0,0,206,173,0,11,14,1,0,23,0,0,0,
Eli Ankou,48856,DI,BUF,2,4,0,,0,0,4,0,0,,47.7,76.7,53.7,49.9,71.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,3,30,0,1,0,0,11,23,0,1,1,0,0,0,0,0,0,
Daniel Ekuale,48874,DI,NE,11,13,0,,0,0,19,0,0,67.0,61.6,86.4,52.3,63.5,79.7,1,3,0,0,,0.0,0,0,0,0.0,0,2,0,2,0,0,515,512,18,171,37,286,0,3,282,233,0,19,24,1,0,6,0,0,0,
Poona Ford,48875,DI,LAC,11,12,1,,0,0,27,0,0,67.9,82.4,85.8,67.4,79.2,49.9,3,11,0,1,,11.5,3,0,0,0.0,0,3,0,0,0,2,388,388,32,321,0,35,0,0,233,153,0,12,11,2,0,17,0,0,0,
Justin Jones,48940,DI,ARZ,3,2,1,,0,0,1,1,0,,30.2,80.3,51.6,28.3,44.7,1,2,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,100,100,1,37,9,53,0,0,61,39,0,1,3,1,0,3,0,0,0,
Vita Vea,48956,DI,TB,10,8,1,,0,0,30,0,0,58.0,75.2,69.4,76.7,64.4,62.7,1,21,0,0,,6.7,2,0,1,0.0,0,6,0,1,0,4,427,426,63,317,7,39,0,1,279,144,0,21,20,4,0,28,0,0,0,
Tim Settle,48966,DI,HST,12,3,0,,0,0,13,0,0,64.5,52.1,55.2,68.2,35.5,41.3,3,20,0,0,,14.3,3,0,2,0.0,0,5,0,0,0,0,442,442,9,325,4,104,0,0,292,150,0,15,15,3,0,28,0,0,0,
Khalil Davis,48988,DI,SF,10,3,0,,0,0,28,0,0,60.0,53.6,82.0,56.4,51.9,54.6,1,6,0,0,,20.0,2,0,0,0.0,0,1,0,1,0,1,177,176,4,128,0,44,0,1,103,73,0,4,5,3,0,8,0,0,0,
Kendal Vickers,48993,DI,NO,1,0,0,,0,0,20,0,0,,60.7,74.6,57.0,62.2,68.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,21,21,1,11,1,8,0,0,12,9,0,1,2,0,0,0,0,0,0,
Nick Scott,49012,S,CAR,6,9,0,78.6,0,0,5,0,0,56.7,52.6,83.5,39.7,48.1,37.5,0,1,0,0,19,21.2,7,1,0,123.5,11,0,0,86,0,174,324,12,0,0,12,0,172,312,1,149,54,3,17,0,14,1,1,111,38,10.1
Justin Reid,49048,S,KC,11,12,0,87.8,0,0,16,0,0,64.7,68.3,56.7,57.2,78.0,82.0,1,2,0,1,50,6.0,4,1,3,125.8,36,0,0,308,9,409,663,40,0,0,40,0,191,623,32,222,115,22,51,3,41,3,3,442,213,12.3
Tre Flowers,49059,CB,JAX,2,0,0,100.0,0,0,15,0,0,47.1,44.7,71.2,55.2,60.0,27.0,0,0,0,0,10,25.0,1,0,0,101.4,3,0,0,8,1,13,16,1,0,0,1,0,3,15,2,1,3,2,3,0,3,0,0,25,12,8.3
Khaleke Hudson,49073,LB,CLV,3,0,0,,0,0,8,0,0,,34.1,66.7,59.0,45.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,9,0,0,10,1,0,0,1,0,0,9,1,9,0,0,0,0,0,0,0,0,0,
Jalen Thompson,49116,S,ARZ,9,12,0,83.3,0,0,1,1,0,54.7,61.9,83.2,62.7,76.4,84.3,2,2,0,0,24,3.5,2,0,0,124.8,20,0,0,295,0,329,578,1,0,0,1,0,164,577,14,235,118,5,43,0,24,4,2,175,63,8.8
Jessie Bates III,49162,S,ATL,11,15,0,65.4,0,4,2,1,0,73.0,76.4,52.5,48.6,84.1,64.0,0,3,0,2,33,13.3,10,4,1,65.4,17,0,0,237,2,433,730,8,0,0,8,0,420,722,8,289,63,19,50,1,26,3,1,175,89,10.3
Ezekiel Turner,49167,LB,DET,2,0,0,,0,0,11,0,0,64.4,59.6,70.1,58.9,55.4,74.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,9,15,1,0,0,1,0,0,14,1,5,2,0,1,0,0,0,0,0,0,
Elijah Campbell,49190,S,MIA,6,0,0,50.0,0,0,17,0,0,56.4,48.5,74.2,57.9,47.6,81.9,0,1,0,0,-1,0.0,0,0,0,56.3,1,0,0,6,0,17,30,6,0,0,6,0,18,24,1,12,0,1,3,1,2,1,0,-1,5,-1.0
Jordan Whitehead,49196,S,TB,11,16,0,75.0,0,0,30,0,0,58.5,61.7,84.0,48.8,70.1,65.0,2,6,0,0,59,12.3,10,3,0,135.4,21,0,0,283,5,423,684,34,0,0,34,0,266,650,33,228,96,17,55,2,28,8,2,316,146,15.0
Ronnie Harrison,49206,S,IND,1,0,0,,0,0,14,0,0,,32.1,61.5,,60.0,22.3,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Demetrius Flannigan-Fowles,49231,LB,SF,4,1,0,100.0,0,0,28,0,0,38.0,38.5,74.0,53.5,51.0,27.3,0,0,0,1,50,33.3,3,0,0,79.2,5,0,0,82,0,39,90,3,0,0,3,0,0,87,4,47,4,2,5,0,5,0,0,82,79,16.4
Carlton Davis III,49335,CB,DET,11,8,0,60.9,1,0,11,2,0,71.5,73.0,85.9,60.0,72.6,61.2,0,0,0,2,63,13.1,8,5,8,80.4,39,0,0,47,534,435,631,2,0,0,2,0,2,629,1,195,46,20,45,2,64,0,2,463,157,11.9
Kindle Vildor,49346,CB,DET,9,0,0,53.8,0,0,11,0,0,35.8,38.7,80.1,,58.8,79.8,0,0,0,0,39,0.0,0,0,1,72.3,7,0,0,6,116,80,127,0,0,0,0,0,0,127,0,47,5,3,6,0,13,0,0,79,38,11.3
Jaire Alexander,49350,CB,GB,7,1,0,56.0,0,0,12,1,0,78.3,75.2,36.4,,57.8,39.4,0,0,1,2,67,20.0,4,3,2,79.9,14,0,0,7,331,232,361,8,0,0,8,0,1,353,0,129,14,2,15,0,25,0,2,227,103,16.2
Ugo Amadi,49352,CB,NO,5,0,0,76.7,0,0,20,0,0,57.0,62.1,82.1,57.6,82.5,46.0,0,1,0,0,20,18.5,5,0,0,107.6,23,1,0,15,8,129,208,16,0,0,16,0,0,192,14,65,169,12,22,3,30,2,1,220,116,9.6
Greg Stroman Jr.,49354,CB,NYG,1,0,0,66.7,0,0,21,0,0,75.3,75.2,76.5,,65.8,75.2,0,0,0,0,11,0.0,0,0,0,81.3,2,0,0,1,35,24,38,0,0,0,0,0,0,38,0,14,2,2,2,0,3,0,0,17,13,8.5
Isaac Yiadom,49355,CB,SF,11,6,0,59.4,0,1,28,1,0,60.2,62.6,86.6,,71.1,61.8,0,0,0,1,37,10.5,4,3,2,82.6,19,0,0,11,388,272,411,4,0,0,4,0,0,407,0,139,6,7,28,0,32,0,1,258,73,13.6
Chris Lammons,49368,CB,IND,4,2,0,90.9,0,1,14,2,0,44.4,57.1,77.2,95.2,60.5,54.3,0,0,0,0,29,18.2,2,0,0,115.9,10,1,0,14,0,64,94,2,0,0,2,0,0,92,3,27,78,1,7,0,11,1,0,130,83,13.0
C.J. Gardner-Johnson,49371,S,PHI,11,10,0,63.0,0,1,24,0,0,69.9,66.9,87.3,,53.8,47.8,0,0,0,2,41,16.0,8,5,0,93.1,17,0,0,155,1,421,649,5,0,0,5,0,417,644,0,228,71,11,32,1,27,0,4,193,101,11.4
Jaylon Jones,49374,CB,CHI,4,3,0,70.0,0,0,6,0,0,71.0,71.7,78.4,,66.4,82.5,0,0,0,0,24,0.0,0,2,0,92.1,7,0,0,5,64,56,76,1,0,0,1,0,4,75,0,20,2,0,8,0,10,0,0,76,13,10.9
Donte Jackson,49377,CB,PIT,11,4,0,55.3,2,0,25,1,0,49.7,52.9,53.2,,71.5,40.4,0,0,0,4,43,19.4,7,3,3,50.1,26,0,0,47,519,368,586,0,0,0,0,0,1,586,0,218,19,8,25,2,47,0,1,342,167,13.2
Cam Lewis,49395,S,BUF,11,11,0,83.0,0,0,4,0,0,56.5,53.8,82.0,62.6,43.7,39.8,0,5,0,0,24,18.6,11,3,0,103.9,44,0,0,143,5,230,380,25,0,0,25,0,16,355,24,126,191,19,37,2,53,5,1,394,222,9.0
M.J. Stewart,49397,S,HST,4,0,0,,0,0,13,0,0,63.8,66.1,72.2,60.0,63.0,77.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,16,24,1,0,0,1,0,17,23,1,7,2,0,1,0,0,0,0,0,0,
Donovan Wilson,49408,S,DAL,11,16,1,90.9,0,1,9,1,0,54.6,58.1,56.9,60.2,64.8,44.3,0,6,0,1,70,16.9,11,1,1,139.4,20,1,0,248,9,331,663,48,0,0,48,0,310,615,25,307,48,20,38,2,22,7,5,293,144,14.7
Julian Blackmon,49434,S,IND,11,8,0,70.6,0,0,14,1,0,67.8,65.7,87.2,71.5,53.8,67.4,0,0,0,1,44,12.7,9,1,0,88.5,12,1,0,118,1,432,766,12,0,0,12,0,595,754,12,322,40,12,54,1,17,1,0,226,89,18.8
Ka'dar Hollman,49446,CB,HST,3,0,0,55.6,0,0,13,0,0,57.0,55.9,79.4,,49.6,48.3,0,0,0,0,29,9.1,1,2,1,75.2,5,0,0,10,105,82,116,0,0,0,0,0,0,116,0,34,1,1,10,0,9,0,0,58,9,11.6
Taron Johnson,49511,CB,BUF,7,8,0,83.9,0,1,4,0,0,61.5,65.8,1.5,68.6,79.9,72.1,0,1,1,2,52,10.0,4,2,2,103.4,26,1,0,105,0,225,358,12,0,0,12,0,4,346,6,127,237,14,28,0,31,2,2,313,153,12.0
Nick McCloud,49535,CB,SF,6,4,0,81.8,0,0,28,0,0,50.0,50.1,79.6,78.2,45.8,30.4,0,0,0,0,41,25.0,4,0,0,149.1,9,0,0,29,65,90,170,6,0,0,6,0,0,164,3,77,70,2,8,1,11,0,1,170,37,18.9
Denzel Ward,49558,CB,CLV,11,4,0,45.1,1,1,8,1,0,74.2,72.1,84.4,56.2,58.4,31.0,1,0,0,1,66,24.3,9,16,2,75.2,23,0,0,50,418,278,483,4,0,0,4,0,0,479,2,203,11,6,24,1,51,1,2,375,142,16.3
Ashtyn Davis,49560,S,NYJ,7,4,0,71.4,0,0,22,0,0,54.3,57.8,77.2,51.8,68.0,59.3,0,2,0,0,34,12.5,2,0,0,145.2,5,0,0,51,1,66,128,3,0,0,3,0,39,125,4,58,34,3,10,2,7,2,1,74,37,14.8
Rock Ya-Sin,49564,CB,SF,3,0,0,50.0,0,0,28,0,0,56.3,59.1,75.7,,65.6,72.8,0,0,0,0,3,0.0,0,1,1,95.8,1,0,0,2,31,19,34,0,0,0,0,0,0,34,0,15,1,0,1,0,2,0,1,3,0,3.0
Duke Shelley,49569,CB,NYG,1,0,0,100.0,0,0,21,0,0,59.9,60.2,71.7,,60.0,78.6,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,0,2,13,14,0,0,0,0,0,0,14,0,1,12,1,1,0,1,0,0,6,2,6.0
Zach Allen,49605,DI,DEN,11,11,1,,0,0,10,0,0,59.9,60.4,50.1,71.9,46.1,41.1,14,31,0,0,,18.2,8,0,3,0.0,0,7,1,6,0,5,652,646,2,148,16,480,0,6,419,228,0,25,25,7,0,52,0,0,0,
Nick Thurman,49607,DI,CAR,9,9,0,,0,0,5,0,0,,39.9,60.1,56.2,39.4,43.6,0,1,0,0,,15.0,3,0,1,0.0,0,0,0,0,0,0,241,239,77,110,1,51,0,2,89,152,0,4,8,1,0,1,0,0,0,
Genard Avery,49699,ED,IND,1,0,0,,0,0,14,0,0,,57.4,69.4,59.1,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Quincy Williams,49779,LB,NYJ,11,14,0,81.3,0,2,22,2,0,63.3,67.1,80.3,64.2,67.5,71.4,0,7,0,0,42,9.5,8,1,2,104.9,39,1,0,617,6,361,732,54,0,0,54,0,0,678,41,330,55,39,62,5,48,8,1,360,198,9.2
Azeez Al-Shaair,49792,LB,HST,9,11,0,67.7,0,2,13,0,0,58.1,73.1,48.6,64.6,87.6,70.4,5,7,0,0,54,8.7,6,3,3,108.9,21,2,0,492,2,296,529,9,0,0,9,0,3,520,33,200,23,33,52,6,31,14,1,295,201,14.0
Zaire Franklin,49834,LB,IND,12,43,0,88.9,0,1,14,0,0,46.5,57.9,85.3,62.2,69.5,75.1,1,9,0,1,44,9.1,12,2,1,99.7,48,1,0,745,0,424,836,13,0,0,13,0,15,823,40,372,63,41,77,3,54,11,1,448,205,9.3
Christian Rozeboom,49862,LB,LA,11,28,0,81.0,0,0,26,0,0,62.3,55.6,50.0,44.6,53.3,58.7,0,4,0,1,31,13.7,14,2,1,109.7,34,0,0,471,2,254,532,20,0,0,20,0,0,512,18,260,39,25,60,2,42,4,2,374,308,11.0
B.J. Hill,49894,DI,CIN,9,6,4,,0,0,7,0,0,60.0,68.6,52.0,67.3,66.7,29.9,4,14,0,0,,14.7,5,0,2,0.0,0,0,0,0,0,3,394,394,52,277,26,39,0,0,230,161,0,12,23,2,0,18,0,0,0,
Sebastian Joseph-Day,49935,DI,TEN,11,5,1,,0,0,31,0,0,60.5,68.9,65.7,57.4,74.3,55.9,2,8,0,0,,14.3,4,0,1,0.0,0,3,0,1,0,2,305,304,3,92,130,79,0,1,159,144,0,20,19,1,0,13,0,0,0,
Jerry Tillery,49949,DI,MIN,11,7,0,,0,0,18,0,0,60.0,61.3,84.7,54.0,64.6,56.9,4,8,0,0,,8.7,2,0,0,0.0,0,0,0,1,0,1,321,320,0,133,48,139,0,1,174,146,0,9,14,1,0,12,0,0,0,
Derrick Nnadi,49970,DI,KC,11,1,0,,0,0,16,0,0,58.7,36.0,81.1,44.9,39.7,26.5,0,0,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,2,115,115,7,107,0,1,0,0,45,68,0,2,4,0,0,0,0,0,0,
Broderick Washington,50049,DI,BLT,10,3,2,,0,0,3,0,0,61.3,52.4,65.6,58.7,47.7,27.8,1,9,0,0,,29.4,5,0,1,0.0,0,1,0,0,0,10,325,325,24,243,28,30,0,0,199,116,0,9,9,0,0,11,0,0,0,
Uchenna Nwosu,50084,ED,SEA,1,1,0,,0,0,29,0,0,,64.9,75.3,50.9,71.9,42.9,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,10,10,0,1,2,0,0,0,0,0,0,
John Franklin-Myers,50088,DI,DEN,12,12,0,,0,0,10,0,0,69.2,76.9,67.0,76.4,59.1,52.7,5,21,0,0,,12.9,4,0,1,0.0,0,5,0,3,0,3,367,364,0,68,69,227,0,3,251,113,0,18,15,3,0,31,0,0,0,
Josh Sweat,50120,ED,PHI,11,4,1,100.0,0,0,24,0,0,64.4,73.3,69.7,76.0,55.2,83.0,7,23,0,0,13,0.0,0,0,1,118.8,1,7,0,0,0,22,429,424,0,0,414,10,0,5,286,121,5,19,15,1,1,37,0,13,7,13.0
Lorenzo Carter,50126,ED,ATL,7,6,0,100.0,0,0,2,0,0,55.0,36.1,54.4,46.9,36.0,65.3,3,1,0,0,37,10.0,2,0,1,118.8,4,0,0,1,0,19,230,225,0,0,222,3,0,5,106,105,4,8,12,0,4,4,0,56,37,14.0
Ogbo Okoronkwo,50130,ED,CLV,11,4,0,100.0,0,1,8,0,0,52.5,47.5,29.0,55.6,50.5,28.6,1,6,0,0,9,31.8,7,0,3,104.2,1,3,0,5,0,8,301,296,0,2,285,9,0,5,177,116,0,13,11,2,1,10,0,9,7,9.0
Jacob Martin,50152,ED,CHI,5,2,0,100.0,0,0,6,0,0,39.6,78.9,82.3,80.8,71.1,76.6,2,7,0,0,6,0.0,0,0,0,91.7,1,3,0,1,0,3,83,82,0,2,78,2,0,1,50,30,0,7,4,2,1,12,0,6,7,6.0
Malcolm Roach,50191,DI,DEN,12,9,1,0.0,0,0,10,1,0,61.9,59.6,66.2,59.5,57.6,53.2,3,8,0,0,,13.3,4,1,1,39.6,0,3,0,1,0,3,348,347,34,246,2,65,0,1,199,146,0,15,17,2,1,14,0,0,0,
Arden Key,50201,ED,TEN,11,5,1,100.0,0,2,31,1,0,77.6,70.9,58.7,67.6,64.7,40.8,5,19,0,0,4,22.2,6,0,3,83.3,1,5,0,2,0,20,490,488,0,6,472,10,0,2,291,179,0,18,16,6,1,29,0,4,0,4.0
Oren Burks,50203,LB,PHI,4,0,0,66.7,0,0,24,0,0,70.3,73.9,71.1,53.0,72.6,78.2,0,1,0,0,12,0.0,0,1,0,84.0,2,0,0,32,0,21,36,0,0,0,0,0,0,36,3,12,4,1,4,0,3,1,0,19,11,9.5
Rashaan Evans,50213,LB,ATL,1,0,0,,0,0,2,0,0,,59.1,64.1,,59.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Josh Hines-Allen,50235,ED,JAX,11,4,1,100.0,0,0,15,1,0,58.3,84.5,57.3,85.9,70.5,62.0,6,34,0,0,16,7.7,2,0,3,158.3,1,6,0,1,0,12,566,565,0,7,529,29,0,1,336,218,0,18,20,1,1,46,1,16,17,16.0
Marquis Haynes Sr.,50244,ED,CAR,2,1,0,,0,0,5,0,0,61.4,42.7,0.0,46.9,58.4,75.4,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,1,41,41,0,0,41,0,0,0,24,16,0,0,4,0,0,1,0,0,0,
Marcus Davenport,50291,ED,DET,2,1,0,,0,0,11,0,0,60.3,53.1,0.0,64.4,53.4,74.4,3,3,0,0,,33.3,1,0,2,0.0,0,1,0,0,0,2,89,89,0,1,80,8,0,0,60,27,0,1,1,0,0,7,0,0,0,
Christian Wilkins,50293,DI,LV,5,3,0,100.0,0,0,23,0,0,53.0,74.8,84.0,67.1,80.2,46.2,3,4,0,0,4,15.0,3,0,0,83.3,1,2,0,0,0,7,246,246,5,121,3,117,0,0,151,88,0,11,14,1,1,9,0,4,0,4.0
Nik Needham,50356,CB,MIA,1,0,0,,0,0,17,0,0,60.0,60.0,62.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
<<<<<<< HEAD
Isaiah Oliver,50393,S,NYJ,11,6,0,69.6,1,0,22,0,0,66.7,70.4,82.6,65.0,72.4,68.4,1,1,0,0,37,11.1,4,2,2,104.4,16,1,0,101,9,204,359,7,0,0,7,0,60,352,13,142,182,12,26,1,23,3,1,165,71,10.3
Jeremy Reaves,50406,S,WAS,2,0,0,100.0,0,0,32,0,0,54.1,48.4,65.0,60.0,60.5,26.1,0,0,0,0,16,100.0,1,0,0,118.8,1,0,0,3,0,1,5,0,0,0,0,0,1,5,1,3,0,0,0,0,1,0,0,16,18,16.0
Juan Thornhill,50426,S,CLV,6,7,0,69.2,0,0,8,0,0,55.9,63.8,80.3,66.9,78.8,71.3,1,0,0,0,71,13.2,5,1,0,147.4,9,0,0,22,0,148,240,3,0,0,3,0,197,237,1,91,18,6,26,1,13,1,2,150,107,16.7
Jalen Davis,50431,CB,CIN,2,3,0,50.0,0,0,7,0,0,50.8,50.4,75.9,48.9,62.3,80.8,0,0,0,0,12,0.0,0,0,0,63.9,3,0,0,3,0,33,49,1,0,0,1,0,0,48,5,11,45,0,3,0,6,0,0,29,5,9.7
Mike Jackson,50437,CB,CAR,11,8,0,67.7,0,1,5,0,0,66.8,67.2,86.9,60.0,63.1,63.0,0,1,0,1,54,10.3,6,9,4,101.9,42,0,0,63,699,413,768,4,0,0,4,0,0,764,1,354,1,12,44,1,62,1,3,505,170,12.0
Amani Oruwariye,50533,CB,DAL,4,1,0,73.9,1,0,9,0,0,62.9,61.3,81.0,,51.9,65.2,0,0,0,1,42,8.7,2,1,1,99.7,17,0,0,16,157,110,182,3,0,0,3,0,0,179,0,72,6,8,20,1,23,0,1,219,61,12.9
Mike Ford,50535,CB,CLV,5,0,0,100.0,0,0,8,0,0,44.1,37.2,67.9,,55.1,26.7,0,0,0,0,16,50.0,1,0,0,118.8,1,0,0,5,4,2,10,0,0,0,0,0,0,10,0,8,1,0,1,0,1,0,0,16,7,16.0
Avonte Maddox,50543,CB,PHI,11,4,1,52.4,0,0,24,0,0,53.0,53.4,79.7,71.9,51.4,69.5,0,0,0,0,28,6.7,1,2,3,86.6,11,0,0,51,2,171,262,0,0,0,0,0,4,262,3,88,205,1,10,0,21,0,1,126,76,11.5
Byron Cowart,50588,DI,CHI,9,2,0,,0,0,6,0,0,,61.5,44.2,61.4,62.5,26.2,1,5,0,0,,30.8,4,0,1,0.0,0,1,0,0,0,0,151,151,39,93,0,19,0,0,82,69,0,7,7,2,0,7,0,0,0,
Josey Jewell,50720,LB,CAR,8,18,0,76.7,0,0,5,2,0,64.8,65.9,81.9,61.0,63.6,70.5,0,2,0,1,63,10.0,7,2,0,103.7,23,1,0,479,0,264,519,7,0,0,7,0,1,512,21,234,32,24,45,3,30,3,1,292,177,12.7
Cody Barton,50727,LB,DEN,12,30,1,86.7,1,1,10,1,1,56.4,65.0,57.6,66.9,73.3,84.4,0,11,0,1,53,4.9,4,1,1,120.4,26,2,0,638,2,398,711,8,0,0,8,0,1,703,75,238,62,22,47,0,30,13,2,327,198,12.6
Jordyn Brooks,50851,LB,MIA,11,18,0,76.4,0,0,17,1,0,52.3,68.0,84.6,72.2,80.9,69.8,2,10,0,0,63,8.2,8,3,0,111.0,42,1,0,537,6,364,685,60,0,0,60,0,1,625,58,263,81,36,71,4,55,13,2,438,264,10.4
Roquan Smith,50892,LB,BLT,11,32,0,80.4,0,1,3,1,0,52.2,61.8,58.3,57.6,77.6,81.9,2,5,0,1,26,5.9,7,2,1,94.3,37,0,0,663,4,441,719,16,0,0,16,0,4,703,67,211,32,39,79,3,46,7,0,405,269,10.9
Tremaine Edmunds,50905,LB,CHI,11,18,1,72.1,0,1,6,0,0,53.3,55.6,85.2,59.3,58.3,65.4,2,0,0,1,25,9.3,7,2,0,84.7,31,1,0,596,4,350,665,11,0,0,11,0,6,654,32,283,48,25,50,2,43,3,0,333,200,10.7
Robert Spillane,50918,LB,LV,11,26,1,90.5,0,0,23,0,0,45.1,63.1,85.1,67.6,80.0,71.4,1,6,0,1,37,8.1,9,2,0,120.6,38,1,0,626,7,366,701,42,0,0,42,0,1,659,53,282,25,36,76,6,42,8,3,404,218,10.6
