player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Budda Baker,11791,S,ARZ,11,25,0,83.8,0,0,1,0,0,72.6,74.4,86.9,56.1,73.7,54.2,0,6,0,0,44,17.3,22,3,0,124.7,31,2,0,259,2,398,700,13,0,0,13,0,329,687,25,277,97,40,80,8,37,8,2,355,167,11.5
Marcus Maye,11794,S,MIA,8,7,0,45.5,0,0,17,0,0,67.2,70.5,82.8,58.2,69.7,49.6,1,2,0,0,9,17.1,6,1,0,52.5,5,0,0,72,2,162,293,24,0,0,24,0,167,269,6,125,28,9,22,2,11,3,0,22,24,4.4
Marcus Williams,11797,S,BLT,11,3,0,82.4,1,0,3,1,0,37.3,42.9,56.4,55.1,69.4,82.5,0,0,0,0,70,6.1,2,1,2,158.3,14,0,0,122,2,432,601,18,0,0,18,0,413,583,3,166,46,4,28,1,17,0,3,247,82,17.6
Tyus Bowser,11802,ED,MIA,9,5,0,100.0,0,0,17,0,0,57.0,53.0,59.5,51.6,57.0,65.6,0,5,0,0,7,8.3,1,0,1,95.8,1,0,0,7,0,61,276,262,0,0,262,0,0,14,104,111,7,2,6,0,1,5,0,7,12,7.0
DeMarcus Walker,11806,ED,CHI,11,14,0,,1,0,6,0,0,71.9,71.9,77.4,65.5,67.3,53.6,6,16,0,0,,13.5,5,0,1,0.0,0,4,0,2,2,9,506,502,0,32,354,116,0,4,291,206,0,18,18,0,0,26,0,0,0,
Raekwon McMillan,11809,LB,NE,8,13,0,81.8,0,0,19,0,0,59.0,40.8,82.2,50.6,31.4,54.4,0,3,0,0,20,12.5,6,0,0,106.1,9,0,0,242,6,121,267,7,0,0,7,0,0,260,7,139,11,11,29,1,11,3,0,104,39,11.6
Dalvin Tomlinson,11810,DI,CLV,11,6,0,,0,0,8,0,0,59.5,71.5,68.7,70.6,66.9,39.5,5,13,0,0,,15.0,3,0,1,0.0,0,4,0,0,0,4,392,392,19,351,2,20,0,0,198,190,0,12,11,2,0,22,0,0,0,
Zach Cunningham,11812,LB,DEN,2,1,0,,0,0,10,0,0,64.4,65.9,72.4,58.8,62.3,76.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,3,13,1,0,0,1,0,0,12,1,9,0,1,2,0,0,0,0,0,0,
Chidobe Awuzie,11815,CB,TEN,3,0,0,50.0,0,0,31,0,0,66.0,66.8,79.9,,65.3,44.1,0,0,0,0,19,20.0,1,0,0,63.9,3,0,0,8,97,63,110,3,0,0,3,0,0,107,0,47,2,1,4,0,6,0,0,29,13,9.7
Larry Ogunjobi,11820,DI,PIT,11,15,0,,0,0,25,0,0,,49.8,68.8,59.0,44.2,49.2,4,7,0,0,,11.4,4,0,1,0.0,0,2,0,1,0,0,393,392,4,183,19,186,0,1,239,154,0,13,16,4,0,13,0,0,0,
